salary,age,college,grad,comten,ceoten,sales,profits,mktval,lsalary,lsales,lmktval,comtensq,ceotensq,profmarg
1336,60,1,1,21,13,4500,562,4300,7.1974354,8.4118328,8.3663702,441,169,12.488889
541,51,1,0,30,4,1400,82,1200,6.2934194,7.2442274,7.0900769,900,16,5.8571429
129,66,1,1,4,4,59,28,412,4.8598123,4.0775375,6.0210233,16,16,47.457626
1700,54,1,1,21,5,6800,1200,20400,7.4383836,8.8246775,9.9232903,441,25,17.647058
1750,66,1,1,31,24,16200,1400,17900,7.467371,9.6927662,9.7925558,961,576,8.6419754
624,61,1,1,21,13,1100,109,934,6.4361506,7.0030656,6.8394766,441,169,9.909091
791,66,1,0,14,8,2300,-60,487,6.6732979,7.7406645,6.1882639,196,64,-2.6086957
1487,51,1,0,3,3,22200,182,2800,7.3045158,10.007848,7.9373746,9,9,.81981981
2021,56,1,0,34,3,51300,2700,42900,7.6113477,10.845446,10.666627,1156,9,5.2631578
1550,47,1,1,19,3,1100,120,4900,7.3460102,7.0030656,8.4969902,361,9,10.909091
401,64,1,0,44,8,571,57,670,5.9939613,6.3473892,6.5072775,1936,64,9.9824867
1295,62,1,0,8,8,10700,1300,16400,7.166266,9.2779989,9.7050362,64,64,12.149532
449,56,1,0,31,1,661,37,538,6.1070228,6.4937539,6.2878585,961,1,5.5975795
456,56,1,1,9,3,381,34,6700,6.1224928,5.9427996,8.8098631,81,9,8.9238844
1142,53,1,1,30,1,28000,1900,26300,7.0405364,10.23996,10.177324,900,1,6.7857141
577,64,1,0,26,2,3000,287,5700,6.3578424,8.0063677,8.648221,676,4,9.5666666
600,56,1,1,18,7,11700,-40,4000,6.3969297,9.3673439,8.2940493,324,49,-.34188035
649,44,1,1,4,4,336,17,475,6.4754329,5.817111,6.1633148,16,16,5.0595236
822,60,1,0,22,20,896,77,752,6.7117405,6.7979403,6.6227365,484,400,8.59375
1080,52,1,0,18,5,388,55,1600,6.9847164,5.9610052,7.377759,324,25,14.175258
1738,54,0,0,34,12,10700,842,15400,7.4604902,9.2779989,9.6421232,1156,144,7.8691587
581,54,1,0,19,19,408,23,403,6.3647509,6.0112672,5.9989367,361,361,5.6372547
912,54,1,0,9,9,2600,239,2400,6.81564,7.8632669,7.7832241,81,81,9.1923075
650,69,1,0,37,13,261,40,817,6.4769726,5.5645204,6.7056389,1369,169,15.32567
2199,52,1,1,8,8,5600,475,6300,7.6957579,8.6305218,8.7483053,64,64,8.4821424
609,53,1,1,15,15,567,34,498,6.4118185,6.3403592,6.2105999,225,225,5.9964728
1946,73,1,0,25,21,7800,484,8000,7.5735312,8.9618788,8.9871969,625,441,6.2051282
552,52,1,0,30,1,2800,308,3500,6.3135481,7.9373746,8.1605186,900,1,11
481,59,1,1,26,4,611,90,667,6.1758671,6.4150968,6.50279,676,16,14.729951
526,45,1,0,8,7,2400,106,2000,6.2653012,7.7832241,7.6009026,64,49,4.4166665
471,60,1,0,3,2,160,7,425,6.1548581,5.0751739,6.0520892,9,4,4.375
630,56,1,0,29,1,1700,-55,420,6.4457197,7.4383836,6.0402546,841,1,-3.2352941
622,57,1,0,35,4,2500,143,1200,6.43294,7.8240461,7.0900769,1225,16,5.7199998
999,52,1,0,28,17,159,21,398,6.906755,5.0689044,5.9864521,784,289,13.207547
585,60,1,1,36,10,1700,33,449,6.3716121,7.4383836,6.1070228,1296,100,1.9411764
1107,57,1,0,17,6,2200,149,1100,7.009409,7.6962128,7.0030656,289,36,6.7727275
1099,59,1,0,34,10,8600,182,1800,7.0021558,9.0595179,7.495542,1156,100,2.1162791
425,86,1,1,13,13,36,11,644,6.0520892,3.583519,6.4676986,169,169,30.555555
2792,40,1,0,11,11,534,35,888,7.9345136,6.280396,6.7889719,121,121,6.554307
350,54,1,0,31,4,1000,46,812,5.857933,6.9077554,6.6995006,961,16,4.5999999
363,58,1,1,36,6,717,80,880,5.894403,6.5750756,6.779922,1296,36,11.157601
2265,63,1,1,35,6,18000,1700,18800,7.7253299,9.7981272,9.8416119,1225,36,9.4444447
377,45,1,0,7,5,238,57,1200,5.9322453,5.4722705,7.0900769,49,25,23.949579
879,63,1,1,21,9,1700,212,4900,6.7787848,7.4383836,8.4969902,441,81,12.470589
720,49,1,0,12,12,672,23,1400,6.5792513,6.5102582,7.2442274,144,144,3.4226191
950,63,1,0,27,14,2600,6,1500,6.856462,7.8632669,7.3132205,729,196,.23076923
1143,67,0,0,23,3,1800,56,918,7.0414119,7.495542,6.8221974,529,9,3.1111112
1064,58,1,0,27,3,3500,195,2600,6.9697905,8.1605186,7.8632669,729,9,5.5714288
1253,60,1,1,36,5,2600,142,3700,7.133296,7.8632669,8.2160883,1296,25,5.4615383
462,58,1,1,23,0,1400,50,769,6.1355648,7.2442274,6.6450911,529,0,3.5714285
174,69,1,0,13,13,29,6,390,5.1590552,3.3672957,5.9661469,169,169,20.689655
474,63,1,0,41,4,2200,175,2600,6.1612072,7.6962128,7.8632669,1681,16,7.9545455
1248,48,1,1,21,7,3500,423,7300,7.1292977,8.1605186,8.8956299,441,49,12.085714
1101,62,1,1,32,3,954,96,1200,7.003974,6.8606639,7.0900769,1024,9,10.062893
348,43,1,1,12,10,586,79,1400,5.8522024,6.3733196,7.2442274,144,100,13.481229
650,55,1,1,28,5,5700,-438,817,6.4769726,8.648221,6.7056389,784,25,-7.6842103
875,58,1,1,32,10,5300,308,2200,6.7742238,8.5754623,7.6962128,1024,100,5.8113208
1600,61,1,0,4,1,12300,877,9400,7.377759,9.4173546,9.1484652,16,1,7.1300812
1500,55,1,1,30,4,7900,665,4800,7.3132205,8.974618,8.4763708,900,16,8.4177217
323,39,1,1,15,3,637,63,517,5.7776523,6.4567695,6.2480431,225,9,9.89011
459,59,1,0,33,3,785,40,1400,6.1290503,6.6656837,7.2442274,1089,9,5.0955415
925,56,1,1,26,12,3300,67,2200,6.8297939,8.1016779,7.6962128,676,144,2.030303
375,46,1,1,4,4,599,20,501,5.9269261,6.3952618,6.2166061,16,16,3.3388982
447,53,1,0,4,1,143,16,527,6.1025586,4.9628448,6.2672005,16,1,11.188811
1340,55,1,0,13,10,1400,131,2900,7.2004247,7.2442274,7.972466,169,100,9.3571424
1749,57,1,1,26,11,8100,40,10000,7.4667993,8.9996195,9.2103405,676,121,.49382716
491,43,1,1,21,2,561,54,521,6.196444,6.329721,6.2557502,441,4,9.6256685
5299,64,1,0,42,13,2400,119,1500,8.5752735,7.7832241,7.3132205,1764,169,4.9583335
431,58,1,1,33,3,815,36,550,6.0661082,6.7031879,6.3099184,1089,9,4.4171777
729,50,1,1,15,3,2000,182,2600,6.5916739,7.6009026,7.8632669,225,9,9.1000004
1284,54,1,1,32,3,12300,1300,19600,7.1577353,9.4173546,9.8832846,1024,9,10.569106
1373,57,1,0,36,8,14300,1600,23600,7.2247534,9.5680151,10.069002,1296,64,11.188811
989,40,1,0,18,5,439,30,582,6.8966942,6.0844994,6.3664703,324,25,6.8337131
515,52,1,1,27,1,1100,51,889,6.2441669,7.0030656,6.7900972,729,1,4.6363635
1301,50,1,1,19,15,1800,130,1600,7.1708884,7.495542,7.377759,361,225,7.2222223
834,58,1,0,35,1,4400,63,890,6.7262335,8.3893595,6.7912216,1225,1,1.4318181
849,46,1,1,24,24,538,36,473,6.7440591,6.2878585,6.1590953,576,576,6.6914496
100,61,1,1,26,26,2700,394,10100,4.6051702,7.9010072,9.2202911,676,676,14.592592
679,62,1,0,40,6,4900,-463,1400,6.5206213,8.4969902,7.2442274,1600,36,-9.4489794
567,56,1,0,31,10,597,65,1700,6.3403592,6.3919172,7.4383836,961,100,10.887773
559,54,1,0,22,2,2100,13,686,6.3261495,7.6496925,6.5308776,484,4,.61904764
704,52,1,1,6,6,50,8,903,6.5567784,3.9120231,6.8057227,36,36,16
308,45,1,1,14,14,210,39,1900,5.7300997,5.3471074,7.5496092,196,196,18.571428
1392,48,1,1,6,6,4800,51,1100,7.2384968,8.4763708,7.0030656,36,36,1.0625
389,55,1,0,29,4,478,38,420,5.9635792,6.1696105,6.0402546,841,16,7.949791
790,69,1,0,45,37,1200,140,3200,6.6720328,7.0900769,8.0709057,2025,1369,11.666667
396,80,1,0,58,28,513,53,963,5.9814143,6.2402759,6.8700533,3364,784,10.331384
398,54,1,0,4,4,633,69,1800,5.9864521,6.4504704,7.495542,16,16,10.900474
707,46,1,1,6,1,130,26,1200,6.5610309,4.8675346,7.0900769,36,1,20
984,60,1,0,7,4,1500,135,1700,6.8916259,7.3132205,7.4383836,49,16,9
410,55,1,0,36,20,501,34,590,6.0161572,6.2166061,6.3801227,1296,400,6.786427
1095,60,1,1,33,5,27600,1400,17100,6.9985094,10.225571,9.7468338,1089,25,5.072464
694,61,1,1,35,19,4200,75,1000,6.5424719,8.3428402,6.9077554,1225,361,1.7857143
834,61,1,1,32,0,7600,364,5300,6.7262335,8.9359035,8.5754623,1024,0,4.7894735
1630,39,1,1,8,8,227,27,822,7.3963351,5.4249501,6.7117405,64,64,11.894273
493,55,1,1,4,1,1300,80,834,6.2005091,7.1701198,6.7262335,16,1,6.1538463
625,57,0,0,36,9,1400,87,979,6.4377518,7.2442274,6.8865318,1296,81,6.2142859
483,52,1,1,18,14,1000,35,548,6.1800165,6.9077554,6.3062754,324,196,3.5
733,60,1,0,8,8,347,18,778,6.5971456,5.8493247,6.6567264,64,64,5.1873198
2102,67,1,1,41,20,10300,1700,45400,7.6506448,9.2398996,10.723268,1681,400,16.504854
853,58,1,0,34,34,818,33,411,6.7487597,6.7068624,6.0185933,1156,1156,4.0342298
345,54,1,1,33,0,994,56,781,5.8435445,6.9017372,6.6605749,1089,0,5.6338029
800,57,1,1,12,9,1800,32,479,6.6846118,7.495542,6.1717005,144,81,1.7777778
764,55,1,1,31,16,1100,145,2100,6.6385679,7.0030656,7.6496925,961,256,13.181818
806,59,1,1,3,3,3000,257,3900,6.6920838,8.0063677,8.2687321,9,9,8.5666666
310,40,1,0,18,1,2400,60,1300,5.7365723,7.7832241,7.1701198,324,1,2.5
1119,61,1,0,34,9,2500,71,1200,7.0201907,7.8240461,7.0900769,1156,81,2.8399999
1287,59,1,1,4,3,4700,222,2700,7.160069,8.4553175,7.9010072,16,9,4.7234044
1170,57,1,1,9,3,1900,208,5600,7.0647593,7.5496092,8.6305218,81,9,10.947369
880,62,1,0,36,12,5300,229,4000,6.779922,8.5754623,8.2940493,1296,144,4.3207545
1091,33,1,0,9,9,181,36,1300,6.9948502,5.1984968,7.1701198,81,81,19.889503
1100,65,1,0,18,6,563,-271,544,7.0030656,6.3332796,6.2989492,324,36,-48.134991
650,53,1,1,5,4,1482,40,557,6.4769726,7.3011479,6.3225651,25,16,2.6990554
607,38,1,1,7,3,231,38,599,6.4085288,5.4424176,6.3952618,49,9,16.450216
1133,63,1,0,9,9,870,37,686,7.0326242,6.7684932,6.5308776,81,81,4.2528734
393,58,1,1,36,6,285,40,956,5.9738097,5.6524892,6.8627577,1296,36,14.035088
605,53,1,0,16,4,422,30,505,6.4052286,6.0450053,6.2245584,256,16,7.109005
1444,59,1,1,2,2,6204,401,10700,7.2751722,8.7329493,9.2779989,4,4,6.463572
1033,62,1,1,30,1,5400,478,7300,6.9402223,8.5941544,8.8956299,900,1,8.8518515
1142,50,1,1,11,3,2600,166,2200,7.0405364,7.8632669,7.6962128,121,9,6.3846154
537,46,1,1,20,20,1200,17,669,6.2859979,7.0900769,6.505784,400,400,1.4166666
693,42,1,0,17,12,1400,206,3000,6.5410299,7.2442274,8.0063677,289,144,14.714286
439,57,1,1,26,12,2600,280,3800,6.0844994,7.8632669,8.2427559,676,144,10.769231
358,64,1,0,43,11,584,45,423,5.8805332,6.3699012,6.0473723,1849,121,7.7054796
1276,64,1,0,41,17,635,52,1300,7.1514854,6.4536252,7.1701198,1681,289,8.1889763
873,41,1,1,2,2,149,21,567,6.7719355,5.0039463,6.3403592,4,4,14.09396
537,57,1,1,35,1,11400,210,4800,6.2859979,9.3413687,8.4763708,1225,1,1.8421053
713,57,1,1,12,2,1600,55,1300,6.5694814,7.377759,7.1701198,144,4,3.4375
1350,68,1,1,5,5,3300,92,2100,7.20786,8.1016779,7.6496925,25,25,2.7878788
1268,47,1,0,20,4,1100,47,2500,7.145196,7.0030656,7.8240461,400,16,4.2727275
465,64,1,1,31,3,2400,326,2400,6.1420374,7.7832241,7.7832241,961,9,13.583333
693,46,1,1,7,3,2200,44,533,6.5410299,7.6962128,6.2785215,49,9,2
369,49,1,1,4,1,65,-132,1200,5.9107966,4.1743875,7.0900769,16,1,-203.07692
381,54,1,0,30,2,2700,386,4500,5.9427996,7.9010072,8.4118328,900,4,14.296296
467,49,1,1,13,0,513,49,534,6.1463294,6.2402759,6.280396,169,0,9.5516567
559,57,1,1,34,16,605,56,653,6.3261495,6.4052286,6.4815769,1156,256,9.2561979
218,57,1,1,33,5,504,41,421,5.3844953,6.2225761,6.0426331,1089,25,8.1349211
264,63,1,0,42,3,334,43,480,5.5759492,5.811141,6.1737862,1764,9,12.874251
185,58,1,0,39,1,766,49,560,5.220356,6.6411819,6.3279366,1521,1,6.3968668
387,71,1,1,32,13,432,28,477,5.9584246,6.0684257,6.1675167,1024,169,6.4814816
2220,63,1,1,18,18,277,-80,540,7.7052627,5.6240177,6.2915692,324,324,-28.880867
445,69,1,0,23,0,249,31,828,6.0980744,5.5174527,6.7190132,529,0,12.4498
